id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
664,زمگسا,کشاورزی ودامپروی مگسال‌,5.05E+15,300,IRO1MAGS0001,IRO1MAGS0006,زراعت و خدمات وابسته,1,2023-08-31T05:42:03.091Z,1,0
668,مبین,مبین انرژی خلیج فارس,2.79E+16,300,IRO1MOBN0001,IRO1MOBN0000,"عرضه برق، گاز، بخاروآب گرم",40,2023-08-31T05:42:03.347Z,40,0
672,دیران,ایران‌دارو,6.91E+16,300,IRO1IRDR0001,IRO1IRDR0007,مواد و محصولات دارويي,43,2023-08-31T05:42:03.614Z,43,0
674,پلوله,گازلوله‌,2.93E+16,309,IRO7GAZP0001,IRO7GAZP0008,لاستيك و پلاستيك,25,2023-08-31T05:42:03.725Z,25,0
676,کاذر,فرآورده‌هاینسوزآذر,4.94E+16,300,IRO1NSAZ0001,IRO1NSAZ0002,ساير محصولات كاني غيرفلزي,54,2023-08-31T05:42:03.847Z,54,0
678,فخاس,فولاد خراسان,4.73E+15,300,IRO1FKAS0001,IRO1FKAS0009,فلزات اساسي,27,2023-08-31T05:42:03.990Z,27,0
682,حریل,ریل پردازسیر,5.56E+15,303,IRO3HRLZ0001,IRO3HRLZ0006,"حمل ونقل، انبارداري و ارتباطات",60,2023-08-31T05:42:04.249Z,60,0
686,فسبزوار2,پارس فولاد سبزوار,2.09E+16,300,IRO1FSBZ0002,IRO1FSBZ0001,فلزات اساسي,27,2023-08-31T05:42:04.492Z,27,0
690,غناب,روغن‌ نباتی ناب,4.25E+16,309,IRO7RNAP0001,IRO7RNAP0009,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:42:04.715Z,42,0
692,شپنا2,پالایش نفت اصفهان,2.20E+16,300,IRO1PNES0002,IRO1PNES0000,"فراورده هاي نفتي، كك و سوخت هسته اي",23,2023-08-31T05:42:04.831Z,23,0
696,حگهر,حمل و نقل گهرترابر سیرجان,4.78E+16,303,IRO3GTTZ0001,IRO3GTTZ0007,"حمل ونقل، انبارداري و ارتباطات",60,2023-08-31T05:42:05.078Z,60,0
698,وتوکا,سرمایه‌گذاریتوکافولاد(هلدینگ,4.72E+16,300,IRO1TOKA0001,IRO1TOKA0007,فلزات اساسي,27,2023-08-31T05:42:05.200Z,27,0
700,ثبهساز,بهساز کاشانه تهران,1.47E+16,300,IRO1BEKA0001,IRO1BEKA0009,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:05.348Z,70,0
704,کگاز,شیشه‌ و گاز,6.23E+16,300,IRO1SGAZ0001,IRO1SGAZ0001,ساير محصولات كاني غيرفلزي,54,2023-08-31T05:42:05.588Z,54,0
706,فغدیر,آهن و فولاد غدیر ایرانیان,2.81E+16,303,IRO3GIRZ0001,IRO3GIRZ0002,فلزات اساسي,27,2023-08-31T05:42:05.715Z,27,0
708,وتجارت,بانک تجارت,6.39E+16,300,IRO1BTEJ0001,IRO1BTEJ0001,بانكها و موسسات اعتباري,57,2023-08-31T05:42:05.857Z,57,0
714,زشریف,کشت وصنعت شریف آباد,2.65E+16,303,IRO3SAAZ0001,IRO3SAAZ0005,زراعت و خدمات وابسته,1,2023-08-31T05:42:06.252Z,1,0
715,خرینگ,رینگ‌سازیمشهد,4.59E+16,300,IRO1RINM0001,IRO1RINM0000,خودرو و ساخت قطعات,34,2023-08-31T05:42:06.341Z,34,0
